시간,규모,진앙,위도,경도,위치
2016-05-244:52:00AM,2.3,16,33.61,125.56,제주제주시고산서북서쪽66km해역
2016-06-034:53:00AM,3,10,36.39,127.92,경북상주시서쪽22km지역
2016-06-0510:11:00AM,2.2,17,36,129.58,경북포항시남구동쪽20km해역
2016-06-074:06:00PM,2.3,12,33.05,126.17,제주제주시고산남쪽27km해역
2016-06-1312:33:00PM,2.7,8,34.3,124.68,전남신안군흑산면서남서쪽82km해역
2016-06-152:07:00AM,2.6,20,35.87,129.69,경북포항시남구동남동쪽33km해역
2016-06-213:23:00AM,3.1,0,39.49,126.19,북한평안남도성천군북쪽28km지역
2016-06-253:24:00AM,2.6,1,38.74,125.86,북한황해북도송림시20km지역
2016-07-058:33:00PM,5,19,35.51,129.99,울산동구동쪽52km해역
2016-07-059:24:00PM,2.6,24,35.51,129.87,울산동구동쪽41km해역
2016-07-094:47:00AM,2.3,18,35.48,129.97,울산동구동쪽50km해역
2016-07-091:16:00PM,2.6,0,38.69,125.83,북한황해북도송림시동남동쪽18km지역
2016-07-132:13:00PM,2,9,36.8,128.53,경북영주시서쪽9km지역
2016-07-1410:31:00PM,2.8,12,35.12,130.24,울산동구동남동쪽86km해역
2016-07-301:51:00AM,2.3,13,33.06,126.33,제주서귀포시남서쪽27km해역
2016-08-1611:57:00AM,2.4,14,36.75,128.84,경북안동시북북동쪽22km지역
2016-08-1711:17:00AM,2.9,0,38.35,128.09,북한강원도양구군북북동쪽28km지역
2016-08-185:08:00PM,2.1,0,37.18,125.46,인천옹진군연평도남남서쪽58km해역
2016-08-1810:21:00PM,2.6,5,38.84,125.7,북한황해북도송림시북북동쪽13km지역
2016-08-2012:18:00PM,3,7,38.38,128.09,북한강원도양구군북북동쪽32km지역
2016-08-206:54:00PM,2.9,18,33.48,127.31,제주서귀포시성산동북동쪽41km해역
2016-08-289:27:00PM,2.4,14,38.65,127.16,북한강원도평강북북서쪽29km지역
2016-08-2811:27:00PM,2.1,7,35.65,127.48,전북장수군서쪽4km지역
2016-08-3012:39:00AM,2.6,18,35.55,128.03,경남합천군서쪽13km지역
2016-09-127:44:00PM,5.1,15,35.77,129.19,경북경주시남남서쪽8.2km지역
2016-09-127:45:00PM,2.4,12,35.78,129.2,경북경주시남남서쪽7km지역
2016-09-127:46:00PM,2.2,14,35.76,129.19,경북경주시남남서쪽9km지역
2016-09-127:48:00PM,3.1,16,35.77,129.19,경북경주시남남서쪽8km지역
2016-09-127:50:00PM,2.2,13,35.77,129.18,경북경주시남남서쪽8km지역
2016-09-127:53:00PM,2.1,16,35.77,129.19,경북경주시남남서쪽8km지역
2016-09-127:55:00PM,2.4,18,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-128:00:00PM,2.4,19,35.78,129.16,경북경주시남서쪽8km지역
2016-09-128:04:00PM,2.5,20,35.77,129.18,경북경주시남남서쪽8km지역
2016-09-128:07:00PM,2.6,21,35.76,129.19,경북경주시남남서쪽9km지역
2016-09-128:08:00PM,2.7,18,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-128:09:00PM,2.7,13,35.76,129.17,경북경주시남남서쪽10km지역
2016-09-128:10:00PM,3.1,18,35.77,129.18,경북경주시남남서쪽8km지역
2016-09-128:17:00PM,2.3,18,35.76,129.19,경북경주시남남서쪽9km지역
2016-09-128:26:00PM,2.5,17,35.77,129.2,경북경주시남쪽8km지역
2016-09-128:32:00PM,5.8,15,35.76,129.19,경북경주시남남서쪽8.7km지역
2016-09-128:34:00PM,3.6,12,35.78,129.19,경북경주시남남서쪽7km지역
2016-09-128:36:00PM,3.4,13,35.75,129.18,경북경주시남남서쪽10km지역
2016-09-128:38:00PM,3,15,35.78,129.2,경북경주시남남서쪽7km지역
2016-09-128:39:00PM,3,16,35.77,129.19,경북경주시남남서쪽8km지역
2016-09-128:40:00PM,3,17,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-128:42:00PM,2.5,13,35.79,129.2,경북경주시남남서쪽5km지역
