,시간,규모,진앙,위도,경도,위치,pca_x,pca_y,cluster,silhouette_coff,cluster_db
14,2013-04-3010:58:00AM,2.0,15.0,36.46,129.63,경북영덕군동북동쪽24km해역,2.7344283328412096,-1.6115057596012878,2,0.21471967369264958,3
15,2013-05-148:17:00PM,2.8,6.0,37.7,124.79,인천백령도남남동쪽30km해역,-6.713998441583236,2.4084184471833603,1,0.2732063750603006,4
16,2013-05-158:34:00AM,2.7,11.0,37.71,124.68,인천백령도남쪽27km해역,-1.7660941097828315,2.852499795746736,0,0.5273371339235622,49
17,2013-05-158:48:00AM,2.8,12.375886524822695,37.69,124.74,인천백령도남쪽30km해역,-0.3949374296669369,2.893582993252188,0,0.4289867849557239,-1
18,2013-05-183:00:00AM,3.5,12.0,37.68,124.6,인천백령도남남동쪽31km해역,-0.7788835077287244,3.033832901454404,0,0.4538146184155954,-1
19,2013-05-187:02:00AM,4.9,11.0,37.68,124.63,인천백령도남쪽31km해역,-1.7693005856048374,2.9886322250579953,0,0.5182785703437102,49
20,2013-05-187:24:00AM,2.2,6.0,37.69,124.65,인천백령도남쪽29km해역,-6.724001096934902,2.525488440591156,1,0.27230225919464285,4
21,2013-05-187:26:00AM,3.3,9.0,37.67,124.66,인천백령도남쪽31km해역,-3.747478297289075,2.7641099438218424,0,0.36736711329427,5
22,2013-05-187:54:00AM,2.5,6.0,37.69,124.65,인천백령도남쪽29km해역,-6.724283172155861,2.5367477218183367,1,0.2720432888381796,4
23,2013-05-189:13:00AM,2.4,7.0,37.67,124.62,인천백령도남쪽32km해역,-5.733093658607778,2.6335471767788055,1,0.04753863839144611,6
24,2013-05-189:32:00AM,2.5,8.0,37.64,124.57,인천백령도남남서쪽36km해역,-4.742746841050601,2.7589977100242136,0,0.19076344995363687,-1
25,2013-05-1811:45:00AM,3.9,11.0,37.67,124.61,인천백령도남쪽32km해역,-1.7690149807119009,2.972246178434198,0,0.5193868317794077,49
26,2013-05-182:09:00PM,2.6,13.0,37.71,124.68,인천백령도남쪽27km해역,0.21715744895574476,2.985012847053168,0,0.35212409520405885,7
27,2013-05-184:18:00PM,2.1,9.0,37.69,124.61,인천백령도남남서쪽30km해역,-3.7524748246805264,2.7656157861093447,0,0.36654493617763084,5
28,2013-05-195:27:00AM,2.3,0.0,37.73,124.74,인천백령도남남동쪽25km해역,-12.67012312629977,2.0259932305646817,1,0.6605527122587258,21
29,2013-05-214:17:00PM,3.7,6.0,37.66,124.71,인천백령도남쪽33km해역,-6.717463250620512,2.5267758540654826,1,0.27106979055238856,4
30,2013-05-2211:25:00PM,2.1,0.0,38.75,128.81,강원고성군북동쪽51km해역,-12.435480494284816,-2.141963819166981,1,0.6210026612388939,-1
