crym,tco_btc_nm,ma_fem_dc,agegrp_dc,tco_btc_u_ct,tco_btc_u_am
201905,패밀리레스토랑,1,20,3059,92292565
201905,패밀리레스토랑,1,30,11488,369333915
201905,패밀리레스토랑,1,40,14634,455756575
201905,패밀리레스토랑,1,50,7605,220927389
201905,패밀리레스토랑,1,60,1732,55050243
201905,패밀리레스토랑,1,70,393,13526590
201905,패밀리레스토랑,1,80,82,2649970
201905,패밀리레스토랑,1,90,3,95130
201905,패밀리레스토랑,2,10,35,1150483
201905,패밀리레스토랑,2,20,3937,123167781
201905,패밀리레스토랑,2,30,14397,462559243
201905,패밀리레스토랑,2,40,23029,672852250
201905,패밀리레스토랑,2,50,13277,372478902
201905,패밀리레스토랑,2,60,3059,92596285
201905,패밀리레스토랑,2,70,656,21119509
201905,패밀리레스토랑,2,80,81,2154450
201905,패밀리레스토랑,2,90,3,388670
201906,한식,1,0,5,112700
201906,한식,1,1,8,264000
201906,한식,1,10,1392,38061007
201906,한식,1,20,181121,5856842953
201906,한식,1,30,636463,22225145124
201906,한식,1,40,944403,33033142873
201906,한식,1,50,660750,22823105914
201906,한식,1,60,248884,8925154627
201906,한식,1,70,65695,2338065346
201906,한식,1,80,11101,378014926
201906,한식,1,90,401,15469820
201906,한식,2,10,2038,55736625
201906,한식,2,20,212175,6538590270
201906,한식,2,30,654540,21480778645
201906,한식,2,40,1112005,35309781228
201906,한식,2,50,841946,27693851964
201906,한식,2,60,291372,10598592502
201906,한식,2,70,63915,2333739304
201906,한식,2,80,8172,300797539
201906,한식,2,90,242,10983000
201906,일식,1,10,141,4334640
201906,일식,1,20,18605,717496977
201906,일식,1,30,50549,2342548946
201906,일식,1,40,62672,3068898523
201906,일식,1,50,40407,1986367373
201906,일식,1,60,12918,698362203
201906,일식,1,70,3478,166859035
201906,일식,1,80,783,36666035
201906,일식,1,90,41,1815400
201906,일식,2,10,229,6256380
201906,일식,2,20,25453,864921456
201906,일식,2,30,55160,2119375236
201906,일식,2,40,85349,3227129717
201906,일식,2,50,57983,2319042924
201906,일식,2,60,15422,741047587
201906,일식,2,70,3440,158649205
201906,일식,2,80,579,23962950
201906,일식,2,90,20,669600
201906,중식,1,10,186,4158220
201906,중식,1,20,25877,609089850
201906,중식,1,30,95709,2401881136
201906,중식,1,40,131104,3188726717
201906,중식,1,50,74022,1715503071
201906,중식,1,60,22511,545991987
201906,중식,1,70,5464,143525160
201906,중식,1,80,1040,28168576
201906,중식,1,90,52,2897700
201906,중식,2,10,241,3928302
201906,중식,2,20,27707,651470568
201906,중식,2,30,87737,2226001905
201906,중식,2,40,140758,3289490255
201906,중식,2,50,87775,2016862776
201906,중식,2,60,25905,679030440
201906,중식,2,70,5851,163685636
201906,중식,2,80,877,24348295
201906,중식,2,90,19,1442900
201906,양식,1,0,1,19500
201906,양식,1,10,127,3153120
201906,양식,1,20,15954,525148611
201906,양식,1,30,46234,1719494399
201906,양식,1,40,48119,1696108039
201906,양식,1,50,27353,942954343
201906,양식,1,60,7244,265183142
201906,양식,1,70,1457,50147542
201906,양식,1,80,346,16573435
201906,양식,1,90,26,872250
201906,양식,2,10,218,5455733
201906,양식,2,20,28380,816658151
201906,양식,2,30,68589,2102138947
201906,양식,2,40,82487,2435646594
201906,양식,2,50,50678,1500078742
201906,양식,2,60,12486,402061481
201906,양식,2,70,2122,77308039
201906,양식,2,80,332,12605380
201906,양식,2,90,12,499000
201906,패스트푸드점,1,10,494,4443550
201906,패스트푸드점,1,20,49269,410658518
201906,패스트푸드점,1,30,164718,1366110290
201906,패스트푸드점,1,40,198040,1747612691
201906,패스트푸드점,1,50,84637,711675302
201906,패스트푸드점,1,60,20987,159764780
201906,패스트푸드점,1,70,6043,44612500
201906,패스트푸드점,1,80,1454,10487640
201906,패스트푸드점,1,90,76,723450
201906,패스트푸드점,2,1,1,2200
201906,패스트푸드점,2,10,611,4832920
201906,패스트푸드점,2,20,52851,426853259
201906,패스트푸드점,2,30,209101,1734500618
201906,패스트푸드점,2,40,317455,2736142437
201906,패스트푸드점,2,50,150472,1198922675
201906,패스트푸드점,2,60,39359,292198285
201906,패스트푸드점,2,70,9202,69774770
201906,패스트푸드점,2,80,1229,10598130
201906,패스트푸드점,2,90,40,317400
201906,패밀리레스토랑,1,10,21,911530
201906,패밀리레스토랑,1,20,3189,94259158
201906,패밀리레스토랑,1,30,11693,362863403
201906,패밀리레스토랑,1,40,15275,447703559
201906,패밀리레스토랑,1,50,8120,232029641
201906,패밀리레스토랑,1,60,1865,56005467
201906,패밀리레스토랑,1,70,405,13916304
201906,패밀리레스토랑,1,80,95,3469855
201906,패밀리레스토랑,1,90,2,102400
201906,패밀리레스토랑,2,10,34,1022705
201906,패밀리레스토랑,2,20,4175,126633374
201906,패밀리레스토랑,2,30,14970,474278747
201906,패밀리레스토랑,2,40,23876,674617264
